gene_id,gene_name,entrez_id,gene_type,logFC,logCPM,F,PValue,FDR
ENSG00000279483,ENSG00000279483,NA,processed_pseudogene,-0.10751173,-0.128551385,0.409836667,0.523637791,0.582299218
ENSG00000227076,ENSG00000227076,NA,lncRNA,-0.094874815,0.24657964,0.409060864,0.524026359,0.582676429
ENSG00000168439,STIP1,10963,protein_coding,-0.054205562,5.8561319,0.409036091,0.52403535,0.582676429
ENSG00000254996,ANKHD1-EIF4EBP3,404734,protein_coding,0.061645662,1.980229058,0.4079813,0.524570079,0.583188551
ENSG00000240382,IGKV1-17,28937,IG_V_gene,-0.155792426,-0.486502856,0.407870743,0.524584167,0.583188551
ENSG00000125735,TNFSF14,8740,protein_coding,0.053782721,5.96180547,0.407948244,0.524586479,0.583188551
ENSG00000162598,C1orf87,127795,protein_coding,0.2032116,-1.538180056,0.406941396,0.524612733,0.583188551
ENSG00000270137,ENSG00000270137,NA,lncRNA,0.093208168,0.859119603,0.40739235,0.52486985,0.583441902
ENSG00000205181,LINC00654,149837,lncRNA,0.071243614,2.349778279,0.407049407,0.525042866,0.583601743
ENSG00000275180,ENSG00000275180,NA,lncRNA,0.077680255,1.563526171,0.406534456,0.525304772,0.583860365
ENSG00000004399,PLXND1,23129,protein_coding,-0.077541026,6.868042797,0.406369939,0.525387932,0.583920299
ENSG00000229241,PNPT1P1,NA,processed_pseudogene,-0.145947622,-1.020223591,0.406175441,0.525515492,0.584006956
ENSG00000185811,IKZF1,10320,protein_coding,0.028292386,9.091789468,0.40610165,0.525524385,0.584006956
ENSG00000214719,ENSG00000214719,NA,lncRNA,-0.088923799,-0.315096897,0.405434151,0.525872223,0.5843364
ENSG00000232850,PTGES2-AS1,389791,lncRNA,-0.125346941,-1.180625644,0.405461613,0.525879354,0.5843364
ENSG00000197006,METTL9,51108,protein_coding,0.040840278,6.657780597,0.405037789,0.526066097,0.584511382
ENSG00000273258,ENSG00000273258,NA,lncRNA,0.121748302,-0.609195686,0.404884365,0.526157885,0.584580846
ENSG00000183576,SETD3,84193,protein_coding,0.033300652,5.822509609,0.404205537,0.526490574,0.584917936
ENSG00000269313,MAGIX,79917,protein_coding,0.06826814,0.76721028,0.403583666,0.526809513,0.585239715
ENSG00000231131,LNCAROD,101928687,lncRNA,0.134390687,-1.224842655,0.403158839,0.52702168,0.58544285
ENSG00000227811,INKA2-AS1,100506343,lncRNA,0.089614238,1.357899751,0.403042645,0.52708539,0.585481057
ENSG00000210174,MT-TR,NA,Mt_tRNA,-0.18558244,-1.416804065,0.402574884,0.527288233,0.585673799
ENSG00000227757,ENSG00000227757,NA,lncRNA,-0.151099067,-1.083624635,0.402519628,0.527361141,0.585722207
ENSG00000290017,ENSG00000290017,NA,lncRNA,0.170941945,0.395209769,0.401936578,0.52766012,0.586021683
ENSG00000228427,ENSG00000228427,107985688,lncRNA,0.061945225,1.249130789,0.401621355,0.527813221,0.586159122
ENSG00000099330,OCEL1,79629,protein_coding,-0.045471996,3.298798639,0.4005592,0.528357692,0.586731156
ENSG00000104472,CHRAC1,54108,protein_coding,0.044138749,3.61433847,0.400283361,0.528499385,0.586855873
ENSG00000159403,C1R,715,protein_coding,-0.086907716,0.887661762,0.399898621,0.528698288,0.587029092
ENSG00000166181,API5,8539,protein_coding,-0.040058783,6.196499769,0.399865468,0.528714165,0.587029092
ENSG00000079931,MOXD1,26002,protein_coding,-0.143709815,-0.726510563,0.399070001,0.529140114,0.587469363
ENSG00000288829,ENSG00000288829,NA,lncRNA,0.108369753,-0.974365158,0.398695362,0.529334756,0.587652793
ENSG00000272056,ENSG00000272056,NA,lncRNA,-0.144106699,-1.283518407,0.398212788,0.529597393,0.587911685
ENSG00000221445,MIR1301,100302246,miRNA,-0.129088575,-0.550012507,0.39805954,0.529656723,0.587944868
